Country,Democracy Indices,Democracy Indices,Democracy Component Indices,Democracy Component Indices,Democracy Component Indices,Democracy Component Indices
Guatemala,0.505,0.309,0.536,0.294,0.489,0.46
Fiji,0.504,0.41,0.779,0.638,0.432,0.78
Benin,0.498,0.325,0.58,0.729,0.487,0.516
Sierra Leone,0.497,0.384,0.728,0.642,0.585,0.912
Nigeria,0.491,0.327,0.597,0.493,0.609,0.614
Mauritius,0.479,0.36,0.696,0.729,0.57,0.809
Papua New Guinea,0.475,0.383,0.761,0.493,0.527,0.524
Madagascar,0.474,0.241,0.404,0.313,0.5,0.44
Tunisia,0.472,0.301,0.558,0.813,0.548,0.766
Ivory Coast,0.454,0.253,0.457,0.522,0.611,0.822
Hungary,0.44,0.325,0.668,0.631,0.571,0.361
Tanzania,0.435,0.39,0.844,0.708,0.532,0.777
Philippines,0.43,0.287,0.581,0.334,0.567,0.749
Guinea-Bissau,0.421,0.233,0.425,0.454,0.345,0.401
Togo,0.416,0.215,0.409,0.626,0.477,0.735
Ukraine,0.415,0.249,0.5,0.654,0.58,0.761
Somaliland,0.404,0.247,0.508,0.28,0.509,0.507
Singapore,0.403,0.331,0.735,0.81,0.134,0.738
Niger,0.389,0.282,0.595,0.613,0.599,0.792
El Salvador,0.388,0.111,0.151,0.315,0.469,0.261
India,0.377,0.275,0.621,0.429,0.507,0.612
Iraq,0.367,0.21,0.452,0.449,0.462,0.589
Lebanon,0.364,0.237,0.529,0.503,0.472,0.667
Serbia,0.364,0.253,0.579,0.747,0.55,0.486
Mauritania,0.363,0.184,0.373,0.338,0.52,0.548
Kyrgyzstan,0.358,0.199,0.432,0.582,0.392,0.367
Mozambique,0.353,0.221,0.496,0.513,0.539,0.56
Angola,0.349,0.173,0.358,0.293,0.179,0.367
Pakistan,0.344,0.212,0.484,0.243,0.545,0.531
Kuwait,0.333,0.313,0.8,0.58,0.186,0.66
Democratic Republic of the Congo,0.317,0.122,0.244,0.353,0.398,0.631
Central African Republic,0.302,0.1,0.189,0.282,0.306,0.373
Cameroon,0.298,0.131,0.289,0.498,0.25,0.229
Gabon,0.293,0.175,0.429,0.632,0.56,0.533
Zanzibar,0.289,0.23,0.608,0.696,0.462,0.698
Thailand,0.288,0.228,0.598,0.472,0.388,0.341
Zimbabwe,0.288,0.174,0.436,0.36,0.532,0.543
Turkey,0.287,0.113,0.245,0.53,0.416,0.195
Kazakhstan,0.284,0.144,0.345,0.597,0.299,0.446
Ethiopia,0.283,0.11,0.238,0.518,0.385,0.612
Uganda,0.28,0.217,0.577,0.421,0.392,0.693
Comoros,0.275,0.106,0.232,0.592,0.534,0.483
Algeria,0.27,0.121,0.287,0.716,0.23,0.434
Morocco,0.263,0.249,0.706,0.566,0.411,0.727
Jordan,0.256,0.253,0.729,0.566,0.284,0.692
Palestine (West Bank),0.254,0.138,0.359,0.623,0.422,0.388
Bangladesh,0.253,0.096,0.219,0.243,0.303,0.298
Djibouti,0.253,0.122,0.303,0.528,0.397,0.387
Republic of the Congo,0.245,0.119,0.305,0.34,0.546,0.562
Mali,0.229,0.148,0.413,0.609,0.582,0.724
Uzbekistan,0.215,0.081,0.2,0.449,0.173,0.445
Rwanda,0.214,0.096,0.252,0.548,0.419,0.589
Haiti,0.214,0.066,0.152,0.128,0.259,0.597
Venezuela,0.211,0.055,0.115,0.285,0.482,0.067
Burkina Faso,0.205,0.182,0.559,0.619,0.421,0.697
Cambodia,0.198,0.057,0.13,0.219,0.371,0.187
Libya,0.194,0.103,0.295,0.446,0.451,0.703
Russia,0.19,0.062,0.151,0.396,0.379,0.2
Egypt,0.189,0.129,0.388,0.317,0.211,0.303
Azerbaijan,0.188,0.064,0.162,0.37,0.119,0.123
Burundi,0.188,0.059,0.145,0.31,0.181,0.199
Equatorial Guinea,0.183,0.057,0.14,0.327,0.113,0.1
Guinea,0.18,0.088,0.253,0.388,0.424,0.22
Cuba,0.176,0.058,0.151,0.771,0.236,0.3
Somalia,0.172,0.136,0.429,0.29,0.251,0.734
Oman,0.17,0.137,0.436,0.58,0.388,0.203
Nicaragua,0.17,0.027,0.042,0.306,0.28,0.033
Tajikistan,0.168,0.041,0.091,0.198,0.157,0.149
Belarus,0.157,0.036,0.082,0.734,0.161,0.044
Iran,0.156,0.082,0.246,0.5,0.079,0.186
Hong Kong,0.154,0.124,0.401,0.721,0.131,0.17
Turkmenistan,0.15,0.036,0.083,0.288,0.065,0.043
Vietnam,0.149,0.114,0.372,0.662,0.563,0.613
Chad,0.148,0.047,0.127,0.215,0.34,0.327
Syria,0.146,0.054,0.153,0.167,0.137,0.056
South Sudan,0.143,0.065,0.193,0.082,0.232,0.076
Palestine (Gaza Strip),0.136,0.07,0.219,0.582,0.357,0.202
Sudan,0.135,0.046,0.132,0.208,0.279,0.163
Laos,0.132,0.095,0.313,0.44,0.393,0.181
Yemen,0.13,0.048,0.14,0.108,0.217,0.181
Bahrain,0.129,0.054,0.165,0.391,0.122,0.209
Eswatini,0.124,0.094,0.315,0.219,0.253,0.164
United Arab Emirates,0.102,0.078,0.27,0.486,0.095,0.285
Qatar,0.087,0.085,0.306,0.382,0.041,0.389
North Korea,0.084,0.015,0.036,0.317,0.153,0.036
Myanmar,0.081,0.016,0.044,0.207,0.314,0.221
Afghanistan,0.075,0.03,0.101,0.112,0.03,0.093
China,0.074,0.037,0.129,0.315,0.124,0.382
Eritrea,0.068,0.01,0.025,0.439,0.028,0.109
Saudi Arabia,0.015,0.046,0.184,0.446,0.087,0.249
